Label,Label2,Question
0,,how many extra did the cafeteria end up with ? .
0,,how many extra did the cafeteria end up with ? .
0,,how many extra did the cafeteria end up with ? .
0,,how many extra did the cafeteria end up with ? .
0,,how many extra did the cafeteria end up with ? .
0,,how many extra did the cafeteria end up with ? .
0,,how many extra flowers did Bianca pick ? .
0,,how many extra flowers did Janet pick ? .
0,,how many extra flowers did Katie pick ? .
0,,how many extra flowers did Lana pick ? .
0,,how many extra fruits did the cafeteria end up with ? .
0,+,how many files were still on her flash drive ? .
0,+,how many files were still on her flash drive ? .
0,+,how many files were still on her flash drive ? .
0,+,how many files were still on her flash drive ? .
0,+,How many fish did he buy ?
0,+,How many fish does she have now ?
0,+,How many fish would Lucy have then ?
0,+,How many fish would Lucy have then ?
1,all,How many fleas perished ?
1,all,How many fleas perished ?
0,t-,How many flowers did Andre give to Rosa ?
0,+,How many football games did Joan go to in all ?
0,+,How many football games did Joan go to in all ?
0,+,How many football games did Keith go to in total ?
0,+,How many football games did Sam go to in all ?
0,+,How many football games did Sam go to in all ?
0,+,How many football games will he attend in all ?
0,-,how many gallons of blue paint did the company use ? .
1,all,How many gallons of oil leaked while the engineers were fixing the pipe ?
0,+,How many gallons of punch did Kendra make ?
1,all,how many gallons of water will there be in all ? .
1,all,how many gallons will there be in all ? .
1,all,how many gallons will there be in all ? .
1,all,how many gallons will there be in all ? .
1,all,How many games did they win ?
0,+,How many games will she attend in all ?
0,+,How many get well cards did Mariela get ?
0,+,How many gold stars did Carson earn in all ?
0,+,how many good games did he end up with ? .
0,+,how many good games did he end up with ? .
0,+,how many good games did he end up with ? .
0,+,how many good games did he end up with ? .
0,+,how many good games did he end up with ? .
1,all,how many grams of strawberry jelly do they have ? .
0,+,How many green balloons does he now have ?
1,all,How many green marbles do they have in total ?
0,+,How many green marbles does Dan now have ?
0,+,How many green marbles does Joan now have ?
0,+,How many green shirts does Gavin have ?
1,all,How many hamburgers were left over from lunch ?
1,all,How many hamburgers were over ?
1,all,How many hamburgers were over from lunch ?
0,-,How many hockey games did Alyssa miss ?
0,+,How many hockey games did Tom go to in all ?
1,all,How many hot dogs were served today ?
0,+,How many houses are there now in Lincoln County ?
0,+,How many houses are there now in Lincoln County ?
0,+,How many houses did developers build during the housing boom ?
1,all,How many inches of the road had they repaved before today ?
0,+,How many kilograms of nuts did the chef buy in all ?
0,+,How many kilograms of nuts did the chef buy in all ?
0,+,How many kittens did he have to start with ?
0,+,How many kittens did he have to start with ?
0,+,How many kittens did he have to start with ?
0,+,How many kittens does she have now ?
0,+,How many kittens does she have now ?
0,+,How many kittens does she now have ?
1,all,How many ladybugs are there in all ?
1,all,How many ladybugs are there in all ?
0,+,How many laps did Kyle jog in all ?
0,+,How many laps did Kyle jog in all ?
0,+,How many leftover tarts did the restaurant have in all ?
0,+,How many leftover tarts did the restaurant have in all ?
0,+,How many legos does Ellen have now ?
1,all,How many lemons were picked in total ?
1,all,How many lemons were picked in total ?
0,+,How many light-years did the spaceship travel in all ?
0,+,How many light-years did the spaceship travel in all ?
0,+,How many limes does Dan have now ?
0,+,How many limes does Dan have now ?
1,all,How many limes were picked in all ?
1,all,How many limes were picked in total ?
0,+,how many lives would she have ? .
0,+,how many lives would she have ? .
0,+,how many lives would she have ? .
0,+,how many lives would she have ? .
0,+,how many lives would she have ? .
0,+,how many lives would she have ? .
0,+,how many lives would she have ? .
1,all,How many loaves were served in all ?
0,+,How many maple trees did the workers plant today ?
0,+,How many maple trees did the workers plant today ?
0,+,How many maple trees did the workers plant today ?
0,+,How many maple trees will the park have when the workers are finished ?
1,all,How many marbles are there total ?
0,+,How many marbles does Evelyn have in all ?
0,+,How many marbles does Harold have in all ?
0,+,How many marbles does he have now ?
0,+,How many marbles does Jack end with ?
0,+,How many marbles does Juan have ?
0,+,How many marbles does Kenneth have in all ?
0,+,How many marbles will Sara have ?
0,+,How many marbles will William have ?
0,+,How many markers does Connie have altogether ?
0,+,How many markers does Megan have altogether ?
0,+,How many markers does Megan have altogether ?
0,+,How many markers does she have altogether ?
0,+,How many markers does she have altogether ?
0,+,How many meatballs did Kirsten steal ?
0,+,How many miles did Heather walk in all ?
0,+,How many miles did Heather walk in all ?
0,+,How many miles did Irwin 's family hike in all ?
0,+,How many miles did Nina run in total ?
0,+,How many miles did Spencer walk in all ?
0,+,How many miles did Spencer walk in all ?
1,all,How many miles did they have left to drive ?
0,+,How many miles did Trisha walk in all ?
0,+,How many miles had she traveled ?
0,,How many more acres did Greg harvest than Sharon ?
0,,How many more acres did Greg harvest than Sharon ?
0,,How many more algae plants are in Milford Lake now ?
0,,How many more apples does Kelly need to pick ?
0,,How many more bacteria are there now ?
0,,How many more bags of dog food are there than cat food ?
0,,How many more bags of dog food are there than cat food ?
0,,How many more balloons does James have than Amy ?
0,,How many more balloons does James have than Amy ?
0,,How many more birds are there than nests ?
0,,How many more books does Bobby have than Kristi ?
0,,How many more cartons of berries should Maria buy ?
0,,How many more cats does Mrs. Garrett have than Mrs. Sheridan ?
0,,How many more cats does Mrs. Sheridan need ?
0,,How many more cookies does Aiyanna have than Alyssa ?
0,,How many more crayons does Karen have than Cindy ?
0,,How many more crickets do you need to collect ?
0,,How many more cupcakes should Priya buy ?
0,,How many more cupcakes should Randy buy ?
0,,How many more cups does she need to add ?
0,,How many more does Bryan have ?
0,,How many more dollars does she have to earn ?
0,,How many more dollars does she have to earn ?
0,,How many more DVDs can be put in the book ?
0,,How many more DVDs can be put in the book ?
0,,How many more fish does Lucy need to buy ?
0,,How many more fish does she need to buy ?
0,,How many more flew up to the tree ?
0,,How many more fly up to the tree ?
0,,How many more miles did Beka fly than Jackson ?
0,,How many more muffins does Arthur have to bake ?
0,,How many more muffins does Arthur have to bake ?
0,,How many more plates should Justin buy ?
0,,How many more points did Zach score ?
0,,How many more red roses does Mrs. Santiago have than Mrs. Garrett ?
0,,How many more rocks does she need to complete the border ?
0,,How many more seashells does she need to find ?
0,,How many more squirrels are there than nuts ?
0,,How many more tickets should Zach buy ?
0,+,how many new books did he buy ? .
0,+,how many new books did he buy ? .
0,+,how many new books did he buy ? .
0,+,How many new people began living in the country last year ?
0,+,How many new people began living in the country last year ?
0,+,How many nickels does he have now ?
0,+,How many nickels does he have now ?
0,+,How many nickels does Mary have now ?
0,+,How many nickels does Mary have now ?
0,+,How many nickels does Sally have now ?
0,+,How many nickels does she have now ?
0,+,How many nickels does Tim have now ?
0,+,How many oak trees will be in the park when the workers are finished ?
0,+,How many oak trees will be in the park when the workers are finished ?
0,+,How many oak trees will the park have when the workers are finished ?
0,+,How many oak trees will the park have when the workers are finished ?
0,-,How many of her leaves blew away ?
0,+,how many of its customers live in other countries ? .
1,all,How many onions did they grow in all ?
1,all,How many onions did they grow in all ?
0,+,How many orange balloons does Joan have now ?
0,+,How many orange balloons does Sally have now ?
0,+,How many orange marbles does he now have ?
0,+,How many orange marbles does he now have ?
1,all,How many oranges are left ?
1,all,How many oranges are left ?
1,all,How many oranges are there total ?
0,+,How many oranges does Clarence have in all ?
0,+,How many oranges does Helen end with ?
0,+,How many oranges does Mildred have ?
1,all,How many oranges were picked in all ?
1,all,How many oranges were picked in total ?
1,all,How many oranges were picked in total ?
1,all,How many oranges were picked in total ?
0,+,How many oranges will Heather have ?
0,+,How many oranges will Melissa have ?
0,+,how many oranges would be in the bin ? .
0,+,how many oranges would be in the bin ? .
0,+,how many oranges would be in the bin ? .
0,+,how many oranges would be in the bin ? .
0,+,How many orchid bushes will the park have when the workers are finished ?
0,+,How many orchid bushes will the park have when the workers are finished ?
0,+,How many orchid bushes will the park have when the workers are finished ?
0,,How many owls are on the fence now ?
0,,How many packs of groceries did she buy in all ?
0,,How many pages does he have left to read ?
0,+,How many pages worth of people did Rosa call in all ?
0,,How many pages worth of people did Rosa call in all ?
0,-,How many pastries did she sell ?
0,-,How many pastries did she sell ?
0,-,How many pastries did she sell ?
0,-,How many pastries did she sell ?
0,,How many pastries did she sell ?
0,,How many peanuts does Amy end with ?
0,,How many peanuts does Carol have ?
0,,How many peanuts does Kenya have ?
0,,How many peanuts does Kenya have ?
0,,How many peanuts does Ralph end with ?
0,,how many peanuts will Martha have ? .
1,all,How many pears were picked in all ?
1,all,How many pears were picked in all ?
1,all,How many pears were picked in total ?
1,all,How many pears were picked in total ?
1,all,How many pears were picked in total ?
1,all,How many pears were picked in total ?
1,all,How many pencils are left ?
0,,How many pencils are left in the jar ?
1,all,How many pencils are now in the drawer ?
1,all,How many pencils are now there in all ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are now there in total ?
1,all,How many pencils are there now ?
0,,How many pencils does Anthony have in all ?
0,,How many pencils does Eugene have in all ?
0,,How many pencils does Josh have left ?
0,,how many pencils will Gloria have ? .
0,+,How many pennies does he have now ?
0,,How many pennies does he have now ?
0,+,How many pennies does Melanie have now ?
0,+,How many pennies does she have now ?
0,,How many people live in Milburg ?
0,,How many people live in Milburg ?
0,,How many people were at the second concert ?
0,,How many people were at the second concert ?
1,all,how many people would be in line ?
1,all,how many people would be in line ? .
1,all,how many people would be in line ? .
1,all,how many people would be in line ? .
1,all,how many people would be in line ? .
0,,How many pet fish does Sandy have now ?
0,,How many pictures does she still have to color ?
0,,How many pictures does she still have to color ?
0,,How many pictures does she still have to color ?
0,,How many pictures does she still have to color ?
0,,how many pictures from her vacation did she still have ? .
0,,how many pictures from her vacation did she still have ? .
0,,how many pictures from her vacation did she still have ? .
0,+,how many pictures from her vacation did she still have ? .
0,,how many pictures from her vacation did she still have ? .
0,,how many pictures from her vacation did she still have ? .
0,,how many pictures from her vacation did she still have ? .
0,,How many pieces did Todd have to start with ?
1,all,how many pieces do they have left ? .
1,all,how many pieces do they have left ? .
1,all,how many pieces do they have left ? .
1,all,how many pieces do they have left ? .
0,,How many pieces of candy did Bobby eat ?
0,,How many pieces of candy does Faye have now ?
0,,How many pieces of candy does Haley have now ?
0,,How many pieces of drawing paper does she have ?
1,all,How many pieces of litter did they pick up altogether ?
0,,How many pieces of paper does she have left ?
0,,how many pieces were blue ? .
1,all,How many pies were served in total ?
0,,how many pies will she have ? .
1,all,How many pigs came to join them ?
1,all,How many pints did they eat in all ?
0,+,How many pitchers of lemonade did Jonah pour in all ?
0,,How many pitchers of lemonade did Jonah pour in all ?
1,all,How many pizzas were served today ?
0,+,How many plums does she have now ?
1,all,How many plums were picked in all ?
1,all,How many plums were picked in total ?
0,+,How many points did she have at the end of the game ?
0,+,How many points did she have at the end of the game ?
0,+,How many points did she have at the end of the game ?
0,+,How many points did she have at the end of the game ?
0,+,How many Pokemon cards did he have to start with ?
0,+,How many Pokemon cards does Jason have now ?
0,+,How many Pokemon cards does Jason have now ?
0,,How many Pokemon cards does Jason have now ?
0,,How many Pokemon cards does Jason have now ?
0,+,How many Pokemon cards does Joan have now ?
0,+,How many popular trees will the park have when the workers are finished ?
0,,How many popular trees will the park have when the workers are finished ?
1,all,How many potatoes did they grow in total ?
1,all,How many potatoes did they grow in total ?
0,+,How many potatoes does Dan now have ?
0,+,How many potatoes does Mary now have ?
0,,How many potatoes does Mary now have ?
0,,How many pounds did she add ?
1,all,how many pounds of fresh fruit have been sold so far ? .
1,all,how many pounds of fresh fruit have been sold so far ? .
0,-,How many pounds of fruit did Scarlett use in all ?
0,,How many pounds of honey did Diane harvest this year ?
0,,How many pounds of peppers did Dale 's Vegetarian Restaurant buy in all ?
0,+,How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?
0,,How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?
0,+,How many pounds of snacks did she buy in all ?
0,,How many pounds of snacks did she buy in all ?
0,+,How many pounds of trail mix did Brandy make ?
0,,How many pounds of trail mix did Brandy make ?
0,,How many pounds of watermelon did Kevin buy ?
0,,How many presents does Alissa have ?
0,,how many problems did she have to do for homework ? .
0,+,how many problems did she have to do for homework ? .
0,+,how many problems did she have to do for homework ? .
1,all,How many pumpkins did they grow in all ?
1,all,How many pumpkins did they grow in total ?
0,,How many pumpkins does Sara have left ?
1,all,How many pupils are there in that school ?
0,+,How many puppies did he have to start with ?
0,+,How many puppies did she have to start with ?
0,,How many puppies did she have to start with ?
0,+,How many puppies does she now have ?
0,+,How many quarters does he have now ?
0,,How many quarters does he have now ?
0,+,How many quarters does Jessica have now ?
0,,How many quarters does Jessica have now ?
0,+,How many quarters does she have now ?
0,,How many quarters does she have now ?
1,all,How many red balloons do they have in total ?
0,-,How many red orchids did she cut ?
0,,How many rose bushes will the park have when the workers are finished ?
0,-,How many roses did she cut ?
0,-,How many roses did she cut ?
0,,How many roses did she cut ?
0,,How many roses did she cut ?
0,,how many roses would she have ? .
0,,how many roses would she have ? .
0,,How many rulers are now in the drawer ?
1,all,How many rulers are now in the drawer ?
1,all,How many rulers are now there in all ?
0,+,How many salmon made the trip ?
1,all,How many salmon made the trip ?
1,all,How many scissors are now there in all ?
1,all,How many scissors are now there in total ?
1,all,How many scissors are now there in total ?
0,-,How many seashells did he give to Jessica ?
0,,How many seashells did he give to Jessica ?
0,t-,How many seashells did she give to Alyssa ?
0,t-,How many seashells did she give to Sam ?
0,t-,How many seashells did she give to Tim ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
1,all,How many seashells did they find together ?
0,+,How many seashells does Benny now have ?
0,+,How many seashells does he now have ?
0,+,How many seashells does he now have ?
0,+,How many seashells does he now have ?
0,,How many seashells does he now have ?
0,,How many seashells does he now have ?
0,+,How many seashells does Jason now have ?
0,+,How many seashells does Nancy now have ?
0,+,How many seashells does she now have ?
0,,How many seashells does she now have ?
0,,how many shirts did he not wash ? .
0,,how many shirts did he not wash ? .
0,,how many shirts did he not wash ? .
0,,how many shirts did he not wash ? .
0,,how many shirts did he not wash ? .
0,,how many shirts did he not wash ? .
0,,how many shirts did he not wash ? .
0,+,How many short bushes will the park have when the workers are finished ?
0,+,How many short trees did the workers plant today ?
0,+,How many short trees will the park have when the workers are finished ?
0,+,How many short trees will the park have when the workers are finished ?
0,+,How many short trees will the park have when the workers are finished ?
0,,How many Skittles does Brenda end with ?
0,,How many Skittles does Cheryl end with ?
0,,How many Skittles does Craig end with ?
0,,How many Skittles does Evelyn end with ?
0,,How many Skittles does Kimberly have in all ?
0,,How many Skittles does Kimberly have in all ?
0,,How many Skittles will Brandon have ?
0,,how many Skittles will Bridget have ? .
0,,How many Skittles will Charles have ?
0,,How many Skittles will Pamela have ?
1,all,How many slices of pie were served today ?
0,,How many soccer games did Jessica go to in all ?
0,,How many soccer games did Melanie miss ?
0,+,How many soccer games will Alyssa go to in all ?
0,,how many socks would he have ? .
0,,how many socks would he have ? .
0,,how many songs does she have on her mp3 player ? .
0,,how many songs does she have on her mp3 player ? .
0,,how many songs does she have on her mp3 player ? .
0,,how many songs does she have on her mp3 player ? .
0,,how many songs does she have on her mp3 player ? .
0,,how many songs does she have on her mp3 player ? .
0,,how many songs does she have on her mp3 player ? .
0,,How many stamps does Minerva have ?
0,,How many stickers did James get for his birthday ?
0,,How many stickers did Pat have at the end of the week ?
0,,How many stickers does Janet have in all ?
0,,How many stickers does Larry end with ?
0,,How many stickers does Luke have left ?
0,,How many stickers does Mika have left ?
0,,How many stickers does Willie end with ?
0,,How many strawberries did he have then ?
0,,How many strawberries did he have then ?
0,,How many students are left on the bus ?
0,,how many students did n't make the cut ? .
0,,how many students did n't make the cut ? .
1,all,how many students did n't make the cut ? .
1,all,how many students did n't make the cut ? .
0,,How many students were in fourth grade at the end ?
0,,How many students were in fourth grade at the end ?
0,,How many students were in fourth grade at the end ?
0,,How many students were in fourth grade at the end ?
0,,How many students were in fourth grade at the end ?
0,,How many students were in fourth grade at the end ?
1,all,how many tickets did they sell in the second half ? .
0,,How many tickets does Angela have in all ?
0,,How many tickets does Ernest end with ?
0,,how many tickets does Jerry have left ? .
0,,How many tickets does William end with ?
0,,How many tickets will Clarence have ?
0,,how many tickets would he have ? .
0,,how many tickets would he have ? .
0,,how many tickets would he have ? .
0,,how many tickets would he have ? .
1,all,How many times did they jump altogether ?
0,,How many tons of cargo does the ship hold now ?
0,,How many tons of grain did the ship originally contain ?
0,+,How many tons of marble did Paco 's Countertop Company purchase in all ?
