Label,IsItAFirstSentence,IsItALastSentence,HasACardinal,HasASubject,HasAnActionVerb,HasADirectObject,HasAWHAdverb,HasAExpletive,HasComparativeAdverb,HasSuperlativeAdverb,HasPastFormVerb,HasBaseFormVerb,score,order,go,place,serve,buy,plant,add,make,find,grow,pick,have,delete,sell,lose,give,eat,spent,threw,leave,share,cut,damage,remove,cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.8,1.08,1.08,1.08,0.87,0.43,0.82,0.57,0.89,1.09,0.4,1,0.57,0.4,0.75,0.6,0.8,0.4,0,0,1,1.08,0.93,1,0.57,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.86,0.6,0.67,0.55,0.73,0.67,0.82,0.57,1,0.67,0.67,0.57,1,0.4,0.67,0.5,1,0.8,0,0,0.8,0.67,0.67,0.67,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,0,0,0.86,0.6,0.67,0.55,0.73,0.67,0.82,0.57,1,0.67,0.67,0.57,1,0.4,0.67,0.5,1,0.8,0,0,0.8,0.67,0.67,0.67,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,0,0,0.86,0.6,0.67,0.55,0.73,0.67,0.82,0.57,1,0.67,0.67,0.57,1,0.4,0.67,0.5,1,0.8,0,0,0.8,0.67,0.67,0.67,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,0,1,0.5,0.77,0.38,0.86,0.6,0.55,1,0.45,0.75,0.43,0.29,0.75,0.82,0.29,0.4,0.75,0.73,0.5,0,0,0.67,0.52,0.63,0.4,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.86,0.6,0.67,0.55,0.73,0.67,0.82,0.57,1,0.67,0.67,0.57,1,0.4,0.67,0.5,1,0.8,0,0,0.8,0.67,0.67,0.67,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.57,0.83,0.67,0.83,0.8,0.75,0.73,0.75,1,0.67,0.83,0.75,1,0.44,0.67,0.5,1,0.67,0,0,1,0.8,0.73,0.67,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.58,0.55,0.8,0.55,1,0.6,0.6,0.35,0.75,0.6,0.33,0.67,0.73,0.33,0.48,0.4,0.8,0.55,0,0,0.57,0.55,0.88,0.7,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.58,0.55,0.8,0.55,1,0.6,0.6,0.35,0.75,0.6,0.33,0.67,0.73,0.33,0.48,0.4,0.8,0.55,0,0,0.57,0.55,0.88,0.7,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.74,0.71,0.75,0.73,0.67,0.8,0.75,0.55,0.75,0.8,0.33,1,0.57,0.67,0.6,0.5,0.75,0.89,0,0,0.75,0.71,0.74,0.78,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.74,0.71,0.75,0.73,0.67,0.8,0.75,0.55,0.75,0.8,0.33,1,0.57,0.67,0.6,0.5,0.75,0.89,0,0,0.75,0.71,0.74,0.78,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,0,1,1,0,1,0,0,0,0,1,0,0.57,0.83,0.67,0.83,0.8,0.75,0.73,0.75,1,0.67,0.83,0.75,1,0.44,0.67,0.5,1,0.67,0,0,1,0.8,0.73,0.67,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,0,1,1,0,1,0,0,0,0,1,0,0.57,0.83,0.67,0.83,0.8,0.75,0.73,0.75,1,0.67,0.83,0.75,1,0.44,0.67,0.5,1,0.67,0,0,1,0.8,0.73,0.67,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=,0,0,1,1,0,1,0,0,0,0,0,0,0.86,0.6,0.67,0.55,0.73,0.67,0.82,0.57,1,0.67,0.67,0.57,1,0.4,0.67,0.5,1,0.8,0,0,0.8,0.67,0.67,0.67,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.86,0.6,0.67,0.55,0.73,0.67,0.82,0.57,1,0.67,0.67,0.57,1,0.4,0.67,0.5,1,0.8,0,0,0.8,0.67,0.67,0.67,0.5,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.57,0.83,0.67,0.83,0.8,0.75,0.73,0.75,1,0.67,0.83,0.75,1,0.44,0.67,0.5,1,0.67,0,0,1,0.8,0.73,0.67,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.57,0.83,0.67,0.83,0.8,0.75,0.73,0.75,1,0.67,0.83,0.75,1,0.44,0.67,0.5,1,0.67,0,0,1,0.8,0.73,0.67,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.58,0.55,0.8,0.55,1,0.6,0.6,0.35,0.75,0.6,0.33,0.67,0.73,0.33,0.48,0.4,0.8,0.55,0,0,0.57,0.55,0.88,0.7,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.58,0.55,0.8,0.55,1,0.6,0.6,0.35,0.75,0.6,0.33,0.67,0.73,0.33,0.48,0.4,0.8,0.55,0,0,0.57,0.55,0.88,0.7,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.58,0.55,0.8,0.55,1,0.6,0.6,0.35,0.75,0.6,0.33,0.67,0.73,0.33,0.48,0.4,0.8,0.55,0,0,0.57,0.55,0.88,0.7,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.74,0.71,0.75,0.73,0.67,0.8,0.75,0.55,0.75,0.8,0.33,1,0.57,0.67,0.6,0.5,0.75,0.89,0,0,0.75,0.71,0.74,0.78,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.74,0.71,0.75,0.73,0.67,0.8,0.75,0.55,0.75,0.8,0.33,1,0.57,0.67,0.6,0.5,0.75,0.89,0,0,0.75,0.71,0.74,0.78,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.74,0.71,0.75,0.73,0.67,0.8,0.75,0.55,0.75,0.8,0.33,1,0.57,0.67,0.6,0.5,0.75,0.89,0,0,0.75,0.71,0.74,0.78,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,0,1,0.5,0.77,0.38,0.86,0.6,0.55,1,0.45,0.75,0.43,0.29,0.75,0.82,0.29,0.4,0.75,0.73,0.5,0,0,0.67,0.52,0.63,0.4,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.67,0.75,0.75,0.75,0.6,0.67,0.43,0.67,0.8,1,0.93,0.8,0.67,0.5,0.63,0.5,0.67,0.4,0,0,0.8,0.75,0.75,0.71,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.33,0.33,0.67,0.33,0.33,0.33,0.29,0.8,0.86,0.93,1,0.33,0.67,0.33,0.33,0.5,0.83,0.5,0,0,0.67,0.33,0.93,0.67,0.4,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,0,0,1,1,0,1,0,0,0,0,1,0,0.86,1,0.78,1,0.55,0.73,0.86,0.73,0.83,0.75,0.33,0.73,0.55,0.6,0.57,0.86,0.83,0.83,0,0,0.71,0.78,0.92,0.74,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
